clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_2.wav,True,0.50278,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the acoustic drums.,-23.4,100.0,0.0,0.0427
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_21.wav,True,0.99265,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main instrument which is a harmonica.,-13.33,100.0,0.0122,0.0167
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_22.wav,True,0.76883,7.0,True,False,The recording has some background noise but is generally clear and energetic.,-10.25,100.0,0.0007,0.0165
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_23.wav,True,0.65887,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is an acoustic pipe organ.,-21.03,100.0,0.0024,0.0498
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_24.wav,True,0.86185,8.0,True,False,The recording has low levels of noise but is otherwise clear and well-balanced.,-17.1,100.0,0.004,0.0942
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_25.wav,True,0.68521,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-16.99,100.0,0.0054,0.0787
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_26.wav,True,0.88324,8.0,True,False,"The recording has minimal background noise and is relatively clear, with only a slight distortion in the higher frequencies.",-12.33,100.0,0.0117,0.1987
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_27.wav,True,0.82123,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main chiptune melody.,-11.55,100.0,0.0474,0.1009
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_28.wav,True,0.86169,7.0,True,False,The recording has some mild background noise but is generally clear and easy to listen to.,-19.03,100.0,0.0134,0.0373
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_29.wav,True,0.95355,7.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency.,-11.91,100.0,0.1318,0.1916
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_3.wav,True,0.61389,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-15.14,100.0,0.0015,0.0578
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_30.wav,True,0.94479,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-11.62,100.0,0.0103,0.0347
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_31.wav,True,0.776,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-15.38,100.0,0.0398,0.1685
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_32.wav,True,0.875,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-19.86,100.0,0.026,0.1306
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_33.wav,True,0.79153,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-16.37,100.0,0.0156,0.1292
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_34.wav,True,0.77054,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-19.79,100.0,0.001,0.0534
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_35.wav,True,0.98282,7.0,True,False,The recording has some background noise but is generally clear and energetic.,-10.98,100.0,0.0213,0.0583
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_36.wav,True,0.79367,8.0,True,False,"The recording has minimal noise and is relatively clear, with a slightly muffled sound due to its age.",-18.25,100.0,0.0325,0.0492
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_37.wav,True,0.96594,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-16.67,100.0,0.0072,0.048
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_38.wav,True,0.98795,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting an overall good acoustics.",-12.29,100.0,0.019,0.1039
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_39.wav,True,0.25287,7.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-31.83,100.0,0.0002,0.0627
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_4.wav,True,0.82697,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main sound which is a slow delta blues slide guitar.,-18.66,100.0,0.0088,0.1123
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_40.wav,True,0.68851,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-17.55,100.0,0.08,0.1638
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_41.wav,True,0.65326,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main music which is an Afrobeat song with complex percussion polyrhythms.,-14.43,100.0,0.0001,0.0421
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_42.wav,True,0.90021,7.0,True,False,The recording has some background noise but is generally clear and has good acoustic quality.,-10.08,100.0,0.0454,0.0993
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_43.wav,True,0.80072,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-18.26,100.0,0.0122,0.0766
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_44.wav,True,0.72363,8.0,True,False,The acapella choral harmony has good clarity and is performed in a grand hall which likely adds reverb. There are some background noises but they do not interfere with the main audio.,-17.86,100.0,0.0843,0.2295
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_45.wav,True,0.81808,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-13.99,100.0,0.0458,0.1355
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_46.wav,True,0.67386,7.0,True,False,The recording has some background noise but is generally clear and has good acoustics.,-15.93,100.0,0.0017,0.1229
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_47.wav,True,0.75778,7.0,True,False,The recording has some background noise but is generally clear and has a good balance between frequencies.,-16.49,100.0,0.0114,0.0569
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_48.wav,True,0.87152,7.0,True,False,The recording has some background noise but it is not severe enough to distort the music. The music sounds clear and the instruments can be identified.,-15.66,100.0,0.0001,0.0931
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_49.wav,True,0.83209,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music. The overall sound quality is clear.,-17.57,100.0,0.0642,0.2015
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_50.wav,True,0.75925,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-12.61,100.0,0.0008,0.0429
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_51.wav,True,0.74481,7.0,True,False,The recording has some background noise but is generally clear and has good acoustics.,-20.25,100.0,0.0361,0.1272
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_52.wav,True,0.85025,7.0,True,False,The recording has some background noise but is generally clear and distinct.,-12.73,100.0,0.0,0.0401
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_53.wav,True,0.89438,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-16.86,100.0,0.0003,0.0514
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_54.wav,True,0.65955,7.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency response.,-17.37,100.0,0.0104,0.1841
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_55.wav,True,0.79236,7.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-13.51,100.0,0.0001,0.0523
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_56.wav,True,0.75906,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-15.75,100.0,0.0339,0.1178
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_57.wav,True,0.77316,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting a good balance between acoustic quality and distortion.",-15.74,100.0,0.0026,0.0415
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_58.wav,True,0.92279,7.0,True,False,The recording has some background noise but it is not severe enough to distort the clarity of the music.,-13.78,100.0,0.0519,0.1595
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_59.wav,False,0.94229,5.0,False,False,The recording has a bit of distortion but is generally clear and easy to listen to.,-11.4,100.0,0.0801,0.1383
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_6.wav,True,0.99774,7.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency.,-10.5,100.0,0.1119,0.1362
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_60.wav,True,0.82599,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-14.29,100.0,0.0602,0.1289
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_61.wav,True,0.88303,7.0,True,False,The recording has some background noise but is generally clear and well-balanced in frequency.,-17.72,100.0,0.0006,0.044
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_62.wav,True,0.90933,8.0,True,False,"The recording has good acoustics, but is slightly noisy due to its age.",-15.95,100.0,0.0214,0.1247
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_63.wav,True,0.61914,7.0,True,False,The recording has some background noise but is generally clear and easy to listen to.,-15.84,100.0,0.0001,0.0938
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_64.wav,True,0.84689,7.0,True,False,The recording has some background noise but is generally clear and has good acoustic quality.,-10.47,100.0,0.0346,0.088
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_65.wav,True,0.31339,7.0,True,False,The recording has some background noise but is generally clear and well-balanced.,-30.0,100.0,0.0628,0.1371
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_66.wav,True,0.7175,8.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-19.01,100.0,0.0462,0.145
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_67.wav,True,0.91089,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-13.76,100.0,0.0409,0.0862
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_68.wav,True,0.84323,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting a good balance between low fidelity and acoustic quality.",-13.04,100.0,0.0236,0.0584
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_69.wav,True,0.59167,7.0,True,False,The recording has some background noise but is generally clear and has good acoustics,-16.3,100.0,0.0004,0.0648
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_7.wav,True,0.55002,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-19.98,100.0,0.0015,0.0677
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_70.wav,True,0.88031,7.0,True,False,The recording has some background noise but it is not severe enough to distort the music.,-13.83,100.0,0.0335,0.1296
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_71.wav,True,0.88559,7.0,True,False,The recording has some background noise but is generally clear and easy to listen to.,-12.55,100.0,0.0441,0.0767
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_72.wav,True,0.9176,7.0,True,False,The recording has some background noise but it is not severe enough to distort the clarity of the music.,-11.43,100.0,0.0004,0.1784
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_73.wav,True,0.95731,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-11.03,100.0,0.0628,0.1245
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_74.wav,True,0.63174,8.0,True,False,"The recording has minimal background noise and is relatively clear, showcasing the expressive solo violin performance.",-18.21,100.0,0.0027,0.0479
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_75.wav,True,0.83029,7.0,True,False,The recording has some distortion but is generally clear and easy to listen to.,-16.63,100.0,0.0429,0.1309
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_76.wav,True,0.77707,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-13.75,100.0,0.0264,0.0954
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_77.wav,True,0.87775,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-19.28,100.0,0.0966,0.1781
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_78.wav,True,0.65689,7.0,True,False,The recording has some background noise but it is not severe enough to distract from the music.,-20.1,100.0,0.0072,0.0685
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_79.wav,True,0.93503,7.0,True,False,The recording has some hiss but is generally clear and free of major distortions.,-12.93,100.0,0.112,0.1783
6e-06,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_8.wav,True,0.99918,8.0,True,False,The recording has some background noise but is generally clear and has a good stereo image.,-14.1,100.0,0.0995,0.1028
6e-06,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_9.wav,True,0.99905,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-13.94,100.0,0.1009,0.1177
0.0,harsh_hiss,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_18.wav,True,0.84747,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the country music.,-13.24,70.0,0.0872,0.3035
0.026925,clipped_or_too_loud,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_20.wav,True,0.99997,7.0,True,False,The recording has noticeable background noise but is generally clear and distinct.,-6.35,70.0,0.0476,0.1829
0.0,harsh_hiss,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_5.wav,True,0.90082,7.0,True,False,The recording has some background noise but it is not severe enough to distort the clarity of the music.,-12.04,70.0,0.0628,0.3171
